# fundamentals
Which component selects a node for a newly created Pod? | kube-scheduler | kubelet | etcd | CoreDNS | The scheduler selects placement. The kubelet then manages execution on the selected node. | control-plane
Where is Kubernetes cluster state persistently stored? | etcd | Container registry | CoreDNS | Pod logs | etcd stores Kubernetes API state; a registry stores images and logs capture application output. | control-plane
An application needs three interchangeable web replicas and rolling updates. Which resource fits? | Deployment | Job | PersistentVolume | ConfigMap | Deployments manage replicated applications and controlled rollouts through ReplicaSets. | controllers
What is the smallest deployable unit managed by Kubernetes? | Pod | Image layer | Namespace | Container registry | Kubernetes schedules Pods, which can contain one or more closely coupled containers. | pods
Two containers in one Pod need to communicate. Which address is normally appropriate? | localhost | The scheduler address | A different node IP for each container | The registry URL | Containers in a Pod share its network namespace and can communicate using localhost. | pods
A node agent must run on every eligible worker. Which controller fits? | DaemonSet | Deployment with one replica | CronJob | StatefulSet with one replica | DaemonSets maintain a Pod on each eligible node, including suitable new nodes. | controllers
Which resource runs a task to completion? | Job | Service | Ingress | ReplicaSet | A Job tracks successful completion. A Service exposes workloads rather than executing a task. | controllers
Which object creates Jobs according to a time schedule? | CronJob | DaemonSet | ResourceQuota | EndpointSlice | A CronJob creates Jobs on a schedule; it does not perform node placement. | controllers
What does an object's spec normally express? | Desired state | Current measured state | Audit history | Container log output | spec holds the requested configuration. status reports observed state. | objects
Which metadata is designed for selecting a group of related Pods? | Labels | Annotations | Resource versions | Log messages | Labels are identifying key-value metadata that selectors can match. | objects
Which metadata is suitable for a build-system reference that should not select Pods? | Annotation | Service selector | Replica count | Container port | Annotations hold non-identifying metadata; labels are used for selection. | objects
What is a container image? | A layered template used to create containers | A running virtual machine | A Pod IP address | A scheduler decision | An image supplies packaged files and metadata. A running container is an instance using it. | containers
Which statement best distinguishes typical Linux containers from VMs? | Containers share the host kernel | Every container includes a separate guest kernel | VMs cannot isolate applications | Containers never need an operating system | Containers isolate processes while sharing a kernel; VMs typically run guest kernels. | containers
What is the main purpose of an image registry? | Store and distribute container images | Select worker nodes | Assign RBAC permissions | Collect Pod metrics | A registry distributes images to clients and runtimes; it does not schedule workloads. | containers
Which resource gives a replicated workload stable Pod identities? | StatefulSet | Deployment | ConfigMap | Job | StatefulSets provide stable identities and storage associations; they do not automatically replicate application data. | controllers
A Pod requests more memory than any node has available for requests. What is the likely result? | It remains Pending | Its request is silently ignored | etcd allocates the memory | The registry creates a larger node | Resource requests guide placement. No feasible node means the scheduler cannot place it. | scheduling
What does a toleration do? | Allows a Pod to tolerate a matching taint | Guarantees placement on a particular node | Increases a node's memory | Removes all network restrictions | Toleration removes a taint-based exclusion; other scheduling constraints still apply. | scheduling
Which object holds non-confidential application settings? | ConfigMap | Secret only | ClusterRoleBinding | PersistentVolume | ConfigMaps separate ordinary configuration from images. Sensitive values belong in a secured Secret workflow. | configuration
What does base64 encoding provide for a Secret value? | Reversible encoding | Strong encryption at rest | Automatic key rotation | Fine-grained authorization | Base64 is encoding, not encryption. Access and encryption controls must be configured separately. | configuration
What does the Horizontal Pod Autoscaler primarily adjust? | Workload replica count | Number of control-plane nodes | Container image contents | Namespace names | HPA changes replicas using metrics. Node autoscaling adjusts cluster capacity. | configuration
Which command is most useful for Pod details and recent events? | kubectl describe pod | kubectl config delete-context | kubectl version --client | kubectl create namespace | describe shows object details and events, often exposing scheduling or startup problems. | namespaces
What does a kubeconfig context select? | Cluster, identity and optional default namespace | Image, registry and tag | CPU, memory and disk limits | Job, schedule and retry count | Contexts choose the connection and identity used by kubectl, plus an optional namespace. | namespaces
A Deployment requests four replicas and one Pod disappears. What behavior should you expect? | Its controllers work to create a replacement | The scheduler restores the old Pod's filesystem | CoreDNS creates the missing container | All replicas stop permanently | Controllers reconcile observed state toward desired replicas. The replacement is a new Pod. | objects
Which node component ensures assigned Pod containers run? | kubelet | kube-scheduler | etcd | Ingress controller | The kubelet manages assigned Pods through the runtime; the scheduler only chooses placement. | control-plane
Which interface connects kubelet to a compatible container runtime? | CRI | CSI | CNI | HTTP Ingress | CRI is the Container Runtime Interface. CSI concerns storage and CNI networking. | containers
Which project defines interoperable container image and runtime specifications? | OCI | CoreDNS | Helm | Grafana | The Open Container Initiative defines image and runtime specifications, distinct from Kubernetes runtime integration. | containers
Why prefer an image digest for reproducible releases? | It identifies specific image content | It always makes the image smaller | It replaces registry authentication | It automatically patches vulnerabilities | Tags can move; a digest identifies immutable content. It does not imply vulnerability-free software. | containers
A bare Pod is lost with its node. What is missing if you expect a replacement Pod? | A workload controller | A second container port | An annotation | A larger log buffer | Controllers such as Deployments create replacements. A bare Pod lacks that replication behavior. | pods
Which statement about a replacement Pod is correct? | It is a new object and may get a new IP | It always keeps the previous Pod IP | It keeps all emptyDir data | It is the same object with the same UID | Pod identity and ephemeral storage do not survive replacement; use Services and persistent volumes as needed. | pods
Which container usually finishes prerequisite setup before application containers start? | Init container | Unrelated Pod in another namespace | API server container | Registry container | Regular init containers run to completion before application containers start. | pods
Which use case best fits a sidecar? | A helper forwarding the main application's logs | An unrelated payroll application | A replacement control plane | A cluster-wide PV allocator | A sidecar supports the main application and shares the Pod lifecycle and context. | pods
A Pod manifest has kind, metadata and spec but no API version. Which field is missing? | apiVersion | serviceIP | clusterPassword | nodeCount | apiVersion identifies the API group/version for the object along with kind. | objects
Which approach is declarative? | Submit a manifest expressing three desired replicas | Manually start three unrelated processes | Edit a container's filesystem by hand | Copy files to each worker interactively | Declarative configuration states the desired outcome for controllers to maintain. | objects
Which resource is cluster-scoped? | Node | Pod | ConfigMap | Secret | Nodes belong to the cluster rather than a namespace. Pods, ConfigMaps and Secrets are namespaced. | namespaces
What does kubectl get pods -A request? | Pods across all namespaces | Only failed Pods | All container images from a registry | Every Pod's complete log history | -A selects all namespaces for a namespaced resource listing. | namespaces
Which action should precede commands in a multi-cluster environment? | Check the current context | Delete the default namespace | Restart etcd | Disable all admission controllers | Checking context prevents actions against the wrong cluster or identity. | namespaces
A CPU limit is repeatedly reached. What can happen? | CPU throttling | Guaranteed Pod deletion | Automatic image rebuilding | PersistentVolume expansion | CPU usage can be throttled by limits; memory-limit enforcement can instead lead to OOM termination. | scheduling
What can happen when a container exceeds its memory limit? | It may be terminated for out-of-memory usage | Its image tag automatically changes | CoreDNS supplies extra memory | Its namespace becomes cluster-scoped | Memory limits can cause OOM termination. Kubernetes does not guarantee transparent memory expansion. | scheduling
Which resource constrains aggregate resource use in a namespace? | ResourceQuota | Ingress | ReplicaSet | EndpointSlice | ResourceQuota limits namespace-wide consumption; LimitRange can set defaults and per-object constraints. | scheduling
Which feature matches a Pod to nodes with specified labels using simple equality constraints? | nodeSelector | Service selector | Secret reference | Readiness probe | nodeSelector constrains eligible nodes by labels. Service selectors choose Pods, not nodes. | scheduling
A ConfigMap is updated but a process's environment variable stays unchanged. Why? | Existing process environment is not automatically refreshed | ConfigMaps can never change | The scheduler must restart | Environment variables are stored in etcd only | Environment values are established when the container starts; updating the source does not rewrite a running process's environment. | configuration
Which scaling action increases the number of worker nodes? | Node autoscaling | HPA only | Adding an annotation | Updating a Service port | Node autoscaling changes capacity. HPA changes workload replica count and can still leave Pods Pending. | configuration
What is the API server's main role? | Expose and serve the Kubernetes API | Store container images | Render monitoring dashboards | Run application build pipelines | The API server is the cluster API entry point; it coordinates API operations rather than serving as a registry. | control-plane
Why do controllers keep reconciling rather than running only once? | Real state can change after the initial deployment | Images cannot be reused | Namespaces expire every hour | Pods never fail | Ongoing reconciliation reacts to failures and configuration changes to maintain desired state. | objects
Which resource most directly maintains the replica count behind a typical Deployment? | ReplicaSet | StorageClass | Ingress | ServiceAccount | A Deployment manages ReplicaSets, which maintain matching Pod replicas. | controllers
A scheduled nightly batch should finish and release resources. Which resource fits best? | CronJob | DaemonSet | Long-running Service | ConfigMap | CronJobs create completion-oriented Jobs on a schedule, matching periodic batch processing. | controllers
What is an appropriate StatefulSet expectation for a database? | Stable identities and persistent storage associations | Automatic application-level backup and replication | Guaranteed zero downtime for every upgrade | Built-in SQL query optimization | StatefulSets support identity and storage behavior; database resilience still requires database-specific design. | controllers
Two independent services have different release schedules. How should they usually be packaged? | Separate Pods managed independently | Always in a single Pod | Inside etcd | As one ConfigMap | Independent services benefit from separate lifecycle and scaling boundaries. | pods
